DateTime,T,RH,AH,C6H6(GT),weekday
2005-01-12 19:00:00,14.1,57.8,0.9262,28.4,Wednesday
2005-01-17 18:00:00,9.2,39.3,0.4573,43.0,Monday
2005-01-17 19:00:00,7.8,48.1,0.5115,37.2,Monday
2005-01-20 18:00:00,11.5,37.5,0.5068,28.5,Thursday
2005-01-21 09:00:00,7.9,60.0,0.6406,29.0,Friday
2005-01-21 20:00:00,10.4,64.4,0.8123,38.1,Friday
2005-01-21 21:00:00,9.4,69.1,0.815,35.7,Friday
2005-01-31 19:00:00,8.6,29.8,0.3344,30.8,Monday
2005-01-31 20:00:00,7.3,36.8,0.3771,29.2,Monday
2005-02-02 20:00:00,8.2,36.2,0.3953,31.4,Wednesday
2005-02-03 09:00:00,2.1,62.2,0.4491,29.1,Thursday
2005-02-03 18:00:00,12.2,44.8,0.6342,32.4,Thursday
2005-02-03 19:00:00,10.3,52.4,0.6578,29.0,Thursday
2005-02-14 11:00:00,11.7,36.9,0.506,33.9,Monday
2005-03-14 19:00:00,16.7,43.4,0.8168,29.1,Monday
2005-03-15 19:00:00,18.0,36.0,0.7345,30.9,Tuesday
2005-03-15 20:00:00,16.4,41.9,0.7759,33.5,Tuesday
2005-03-21 09:00:00,14.7,59.8,0.9928,31.0,Monday
2005-03-21 19:00:00,18.6,46.4,0.9867,29.7,Monday
2005-03-23 19:00:00,21.0,29.2,0.7192,32.6,Wednesday
2005-03-23 20:00:00,19.5,35.6,0.7978,32.0,Wednesday
2005-03-24 19:00:00,20.1,43.2,1.0051,30.8,Thursday
2005-03-24 20:00:00,18.8,49.1,1.0538,35.5,Thursday
